TICKERS,MA_DAYS,INITIAL_CAPITAL,RSI_PERIOD,RSI_THRESHOLD,TRAILING_STOP_PCT,START_DATE,END_DATE,Total Trades,Win Rate,Total Return,Average Return Per Trade,Max Trade Gain (%),Max Trade Loss (%),Total PnL,Average PnL Per Trade,Max Trade Gain ($),Max Trade Loss ($),Max Drawdown,Annualized Mean Return,Annualized Volatility,Annualized Sharpe Ratio,CAGR,Daily Max Return,Daily Max Return Date,Daily Min Return,Daily Min Return Date,Peak,Trough,Recovery Date,Total Runtime (s),Average Runtime (s),Runtime (s),Runtime EMA (s),Success-only Runtime EMA (s),Success,Error
BTC-USD,7,10000,14,15,0.02,2025-06-30,2025-07-31,7,0.42857142857142855,0.020001224174661658,0.0014028859113625436,0.029678397006964174,-0.019927779262196965,89.0454792545629,12.720782750651844,292.73793047923886,-205.1402611182042,-0.027769369127450688,0.24227428865177664,0.13664052391060694,1.7730778667848017,0.2534345294315645,0.014115285557957602,2025-07-13,-0.015301260836356856,2025-07-07,2025-07-16,2025-07-30,,6.7,6.7,6.7,6.7,6.7,True,
BTC-USD,7,10000,14,20,0.02,2025-06-30,2025-07-31,9,0.3333333333333333,0.07519065257430535,0.007551591907864575,0.11140932540062348,-0.019927779262196965,634.9356604635288,70.54840671816987,1098.0026925823863,-216.2398299074753,-0.047677372012903944,0.879374514264938,0.2273692079803835,3.867606005562578,1.2862896863222133,0.042670096964626536,2025-07-10,-0.022919979420916392,2025-07-18,2025-07-16,2025-07-30,,12.53,6.26,5.83,6.52,6.52,True,
BTC-USD,7,10000,14,25,0.02,2025-06-30,2025-07-31,14,0.21428571428571427,0.010894394589723078,0.0004737003539683087,0.11114744137367885,-0.01789951062013594,-1.0320771999501233,-0.07371979999643738,1094.8734234398378,-191.76353593468735,-0.08457374624981473,0.16096460333834464,0.26348276936053827,0.6109113082764351,0.13155429863923507,0.042670096964626536,2025-07-10,-0.023621365431474528,2025-07-18,2025-07-14,2025-07-30,,19.04,6.35,6.51,6.52,6.52,True,
BTC-USD,7,10000,14,30,0.02,2025-06-30,2025-07-31,16,0.25,-0.004417919471626952,-0.0005021789713893564,0.11486182673594274,-0.017988495137745968,-152.48937871700923,-9.530586169813077,1129.902582714691,-191.22220933943498,-0.09519739968647686,-0.02031092900522937,0.2573870133827042,-0.07891201944609928,-0.04924943373723001,0.042670096964626536,2025-07-10,-0.01798849513774603,2025-07-21,2025-07-14,2025-07-30,,25.18,6.3,6.14,6.44,6.44,True,
BTC-USD,7,10000,14,35,0.02,2025-06-30,2025-07-31,16,0.25,-0.0037042764204258116,-0.0004639453984049782,0.11437955091684104,-0.018956573313455842,-145.43058601276255,-9.08941162579766,1123.1259501980453,-200.87878394933762,-0.09251771916891156,-0.012016396306567525,0.25680921124891914,-0.046791142140615485,-0.041446932694738314,0.04267009696462676,2025-07-10,-0.018956573313455904,2025-07-21,2025-07-14,2025-07-30,,32.87,6.57,7.69,6.69,6.69,True,
