asset,entry_time,exit_time,entry_price,exit_price,quantity,allocation_pct,pnl,return_dec,cash,cumulative_pnl,equity,cumulative_return
BTC-USD,2025-01-01 01:06:00,2025-01-07 15:01:00,93745.48,99653.9103,0.10667180967018357,1.0,630.2629524111463,0.06302629524111464,10630.262952411145,630.2629524111463,10630.262952411147,0.0630262952411147
BTC-USD,2025-01-07 15:02:00,2025-01-07 17:38:00,99252.12,96828.7174,0.1071036361985129,1.0,-259.55523043293044,-0.024416633115746055,10370.707721978215,370.7077219782159,10370.707721978215,0.0370707721978214
BTC-USD,2025-01-14 02:34:00,2025-01-16 14:45:00,94963.61,97853.59999999999,0.10920717653823622,1.0,315.6076481237363,0.030432604657720897,10686.315370101951,686.3153701019521,10686.315370101953,0.06863153701019531
BTC-USD,2025-01-16 14:46:00,2025-01-18 04:24:00,97846.43,102790.9,0.10921517903210114,1.0,540.0111762688532,0.05053296272536465,11226.326546370805,1226.3265463708053,11226.326546370805,0.1226326546370804
BTC-USD,2025-01-18 04:25:00,2025-01-19 22:03:00,102802.39,103125.0068,0.10920297228858984,1.0,35.23071347023391,0.0031382227592179853,11261.55725984104,1261.5572598410392,11261.55725984104,0.12615572598410396
BTC-USD,2025-01-19 22:05:00,2025-01-19 22:48:00,102964.64,101231.01389999999,0.10937305525315331,1.0,-189.61198322360963,-0.016837101552533068,11071.94527661743,1071.9452766174295,11071.945276617429,0.10719452766174298
BTC-USD,2025-01-19 22:49:00,2025-01-19 23:29:00,101106.49,100218.2466,0.10950776034869206,1.0,-97.26954537850814,-0.008785226348971333,10974.675731238922,974.6757312389213,10974.675731238922,0.09746757312389209
BTC-USD,2025-01-19 23:31:00,2025-01-20 12:18:00,100047.05,106077.26969999999,0.10969514574631557,1.0,661.4858288738019,0.06027383815914599,11636.161560112723,1636.1615601127232,11636.161560112723,0.16361615601127233
BTC-USD,2025-01-20 12:19:00,2025-01-20 15:56:00,106208.67,104760.0,0.10955943201353263,1.0,-158.71546237504413,-0.013639846916452284,11477.446097737678,1477.446097737679,11477.446097737678,0.1477446097737678
BTC-USD,2025-01-20 16:12:00,2025-01-20 17:05:00,104600.89,103693.0485,0.10972608452698326,1.0,-99.61389316610273,-0.008679099193133012,11377.832204571576,1377.8322045715763,11377.832204571576,0.13778322045715763
BTC-USD,2025-01-20 17:06:00,2025-01-20 17:39:00,103008.67,102384.12079999999,0.110455092805019,1.0,-68.98463984730132,-0.006063074108228061,11308.847564724276,1308.847564724275,11308.847564724274,0.13088475647242737
BTC-USD,2025-01-20 17:40:00,2025-01-21 00:52:00,101498.99,101307.7506,0.11141832608111939,1.0,-21.307573828758272,-0.0018841507683968661,11287.539990895519,1287.5399908955167,11287.539990895517,0.12875399908955165
BTC-USD,2025-01-21 04:01:00,2025-01-22 11:58:00,102646.39,104072.367,0.10996528948456462,1.0,156.80797360333088,0.01389213005932307,11444.34796449885,1444.3479644988474,11444.347964498847,0.14443479644988466
BTC-USD,2025-01-22 13:05:00,2025-01-23 04:15:00,105025.87,102001.1066,0.10896694275894929,1.0,-329.5992202671644,-0.028800174661728548,11114.748744231685,1114.748744231683,11114.748744231683,0.11147487442316839
BTC-USD,2025-01-23 15:08:00,2025-01-23 19:53:00,103710.17,103664.74389999999,0.1071712518090722,1.0,-4.868372001805327,-0.000438010081364359,11109.88037222988,1109.8803722298778,11109.880372229878,0.11098803722298789
BTC-USD,2025-01-23 22:43:00,2025-01-26 23:01:00,103970.52,103984.0,0.10685606239374276,1.0,1.440419721067217,0.00012965213600928344,11111.320791950948,1111.320791950945,11111.320791950944,0.11113207919509449
BTC-USD,2025-01-29 21:04:00,2025-01-31 18:37:00,103887.81,103290.2269,0.10695500070654053,1.0,-63.91450088271705,-0.005752196528158631,11047.406291068231,1047.406291068228,11047.406291068228,0.10474062910682269
BTC-USD,2025-02-03 22:33:00,2025-02-04 05:16:00,101847.55,98911.676,0.10847002496445159,1.0,-318.4543260724839,-0.02882616223954328,10728.951964995747,728.9519649957441,10728.951964995744,0.07289519649957432
BTC-USD,2025-02-07 15:01:00,2025-02-07 20:06:00,99415.52,96433.05440000001,0.10792029217365404,1.0,-321.86855894987195,-0.029999999999999957,10407.083406045875,407.08340604587215,10407.083406045873,0.04070834060458739
BTC-USD,2025-02-10 09:31:00,2025-02-11 18:47:00,97654.64,95545.0,0.10657029103835593,1.0,-224.82494878615714,-0.021603069756849235,10182.258457259717,182.25845725971502,10182.258457259715,0.018225845725971412
BTC-USD,2025-02-12 18:05:00,2025-02-17 05:02:00,97033.68,95923.40669999999,0.10493530140524113,1.0,-116.50686337769179,-0.011442143593853194,10065.751593882025,65.75159388202323,10065.751593882023,0.006575159388202412
BTC-USD,2025-02-19 23:29:00,2025-02-21 18:57:00,96612.18,96531.9944,0.10418719041307241,1.0,-8.354312375586153,-0.0008299740260492732,10057.397281506439,57.397281506437075,10057.397281506437,0.005739728150643719
BTC-USD,2025-02-22 13:29:00,2025-02-24 15:46:00,96775.31,93924.7702,0.10392523962471874,1.0,-296.24303177479766,-0.029455238118069566,9761.154249731642,-238.84575026836058,9761.154249731639,-0.023884575026836163
BTC-USD,2025-03-02 18:11:00,2025-03-03 06:44:00,93416.75,92004.5,0.10449040723137598,1.0,-147.56657761251074,-0.01511773852119668,9613.58767211913,-386.4123278808713,9613.587672119129,-0.038641232788087065
BTC-USD,2025-03-03 06:45:00,2025-03-03 14:43:00,91966.04,90903.0844,0.10453410489479738,1.0,-111.11511218891089,-0.011558131675561835,9502.47255993022,-497.5274400697822,9502.472559930218,-0.049752744006978156
BTC-USD,2025-03-03 14:44:00,2025-03-03 18:21:00,90941.4,88796.23469999999,0.10449006239105864,1.0,-224.14845603613483,-0.023588434970211673,9278.324103894085,-721.675896105917,9278.324103894083,-0.07216758961059166
BTC-USD,2025-03-03 18:24:00,2025-03-03 19:52:00,88619.08,86214.57969999999,0.10469894410880913,1.0,-251.7486425193163,-0.02713298648552901,9026.575461374769,-973.4245386252333,9026.575461374767,-0.09734245386252327
BTC-USD,2025-03-04 20:05:00,2025-03-05 14:57:00,87900.42,88215.0398,0.10269092526946708,1.0,32.30859837009472,0.003579275275362739,9058.884059744863,-941.1159402551385,9058.884059744862,-0.09411159402551383
BTC-USD,2025-03-05 14:58:00,2025-03-06 12:49:00,88221.12,90032.7713,0.10268384781042073,1.0,186.02732637475063,0.020535346864787002,9244.911386119615,-755.0886138803879,9244.911386119613,-0.0755088613880387
BTC-USD,2025-03-06 12:50:00,2025-03-06 17:01:00,89828.8,88719.401,0.10291700864443935,1.0,-114.17602647313288,-0.012350148282065494,9130.735359646482,-869.2646403535208,9130.73535964648,-0.08692646403535198
BTC-USD,2025-03-06 17:02:00,2025-03-07 00:15:00,88742.34,88541.59999999999,0.10289040563553409,1.0,-20.654220027277653,-0.0022620543925256564,9110.081139619204,-889.9188603807985,9110.081139619202,-0.08899188603807984
